WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,104,208.03846153846155,415.5769230769231,10286.0,7942.6057692307695,6067.0,204,408,213,424
A1,1,1,0,0,0,0,87,209.8505747126437,114.4367816091954,7768.0,6231.091954022989,4896.0,205,108,215,121
A1,1,1,0,0,0,0,50,208.12,361.6,9173.0,7471.52,5420.0,205,357,212,368
A1,1,1,0,0,0,0,92,210.8913043478261,22.967391304347824,12240.0,10469.25,7467.0,206,16,218,29
A1,1,1,0,0,0,0,129,214.43410852713177,437.5968992248062,9685.0,6846.860465116279,4173.0,209,430,220,446
A1,1,1,0,0,0,0,131,221.25954198473283,174.206106870229,10633.0,8113.076335877862,6142.0,216,167,227,183
A1,1,1,0,0,0,0,78,223.46153846153845,494.88461538461536,8048.0,6660.102564102564,5042.0,218,489,229,502
A1,1,1,0,0,0,0,154,227.45454545454547,654.5909090909091,8416.0,6338.62987012987,4457.0,219,649,237,661
A1,1,1,0,0,0,0,65,221.7076923076923,797.2153846153847,10254.0,7459.584615384615,4534.0,219,791,226,804
A1,1,1,0,0,0,0,117,227.8034188034188,605.8974358974359,5308.0,4130.384615384615,3148.0,222,600,235,612
A1,1,1,0,0,0,0,111,231.64864864864865,296.1801801801802,16325.0,9620.792792792792,5568.0,224,291,241,301
A1,1,1,0,0,0,0,107,232.80373831775702,884.1775700934579,8544.0,6680.084112149532,4318.0,228,877,239,892
A1,1,1,0,0,0,0,90,235.4777777777778,716.0888888888888,5875.0,4778.977777777778,3505.0,231,708,240,726
A1,1,1,0,0,0,0,106,237.37735849056602,673.7264150943396,10824.0,8806.537735849057,6895.0,232,668,243,681
A1,1,1,0,0,0,0,133,241.54135338345864,420.09774436090225,8262.0,5872.684210526316,3722.0,233,415,251,426
A1,1,1,0,0,0,0,91,240.12087912087912,384.85714285714283,11919.0,10133.263736263736,7812.0,236,378,246,393
A1,1,1,0,0,0,0,74,238.6891891891892,951.1216216216217,7435.0,6051.972972972973,4062.0,235,946,244,958
A1,1,1,0,0,0,0,165,246.56363636363636,131.64848484848486,14304.0,9317.787878787878,4918.0,237,125,258,140
A1,1,1,0,0,0,0,62,240.79032258064515,206.82258064516128,5395.0,4678.064516129032,3260.0,237,201,245,214
A1,1,1,0,0,0,0,88,241.35227272727272,929.2727272727273,6168.0,5217.75,3598.0,237,922,246,938
A1,1,1,0,0,0,0,87,243.73563218390805,327.1034482758621,7527.0,5449.3218390804595,3251.0,238,323,250,333
A1,1,1,0,0,0,0,128,246.3203125,759.25,10924.0,7488.71875,3512.0,240,752,255,766
A1,1,1,0,0,0,0,114,248.66666666666666,868.5701754385965,5162.0,4336.815789473684,3469.0,242,864,256,875
A1,1,1,0,0,0,0,288,255.84722222222223,285.4583333333333,6556.0,5105.868055555556,3574.0,245,278,268,294
A1,1,1,0,0,0,0,119,251.9579831932773,892.8403361344538,7427.0,4413.924369747899,1820.0,247,886,258,901
A1,1,1,0,0,0,0,104,252.39423076923077,29.365384615384617,5987.0,5081.375,3511.0,248,22,257,38
A1,1,1,0,0,0,0,65,252.04615384615386,151.04615384615386,8397.0,6826.892307692307,4868.0,248,145,257,157
A1,1,1,0,0,0,0,118,255.42372881355934,808.6101694915254,5800.0,4311.440677966101,2818.0,251,801,261,818
A1,1,1,0,0,0,0,203,260.32512315270935,305.2463054187192,8036.0,6614.532019704434,4016.0,252,298,271,314
A1,1,1,0,0,0,0,131,257.4732824427481,550.6793893129772,9489.0,7660.580152671756,5865.0,252,543,263,560
A1,1,1,0,0,0,0,233,265.84120171673817,443.3905579399142,6381.0,4733.751072961373,2882.0,255,438,279,450
A1,1,1,0,0,0,0,88,261.1136363636364,490.35227272727275,8742.0,6634.090909090909,4543.0,257,484,267,497
A1,1,1,0,0,0,0,80,262.4375,634.1,6432.0,5497.0875,4361.0,256,631,270,639
A1,1,1,0,0,0,0,67,263.3731343283582,720.6119402985074,7475.0,6321.7164179104475,4668.0,259,716,269,727
A1,1,1,0,0,0,0,142,270.9225352112676,326.4154929577465,9311.0,7521.619718309859,4948.0,262,321,280,333
A1,1,1,0,0,0,0,190,269.79473684210524,373.0473684210526,9143.0,6504.515789473684,3289.0,261,363,279,381
A1,1,1,0,0,0,0,74,271.7837837837838,454.6216216216216,8008.0,6550.756756756757,4597.0,266,451,278,459
A1,1,1,0,0,0,0,80,272.0,201.2375,9116.0,7090.3375,5215.0,268,196,278,208
A1,1,1,0,0,0,0,92,273.69565217391306,758.6195652173913,7591.0,6079.25,4000.0,269,753,280,766
A1,1,1,0,0,0,0,90,276.06666666666666,385.1333333333333,7389.0,5975.055555555556,4589.0,270,380,283,391
A1,1,1,0,0,0,0,72,283.2916666666667,430.375,8611.0,6471.75,4271.0,276,428,292,434
A1,1,1,0,0,0,0,65,279.55384615384617,710.8615384615384,7189.0,6284.246153846154,5175.0,276,704,285,718
A1,1,1,0,0,0,0,122,280.28688524590166,34.69672131147541,9931.0,8067.672131147541,6011.0,276,26,286,44
A1,1,1,0,0,0,0,40,281.625,411.75,10374.0,8712.85,6339.0,276,410,287,415
